group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
anthropometrics,fev1,asian,Height,-372.79,45.87,-8.13,0.0,-462.75,-282.83,152726.22,273990832.62,8,-0.0
anthropometrics,fev1,asian,Waist Circumference,-430.15,45.78,-9.4,0.0,-519.93,-340.36,147922.34,265372673.16,9,-15.386678827221747
anthropometrics,fev1,asian,Leg Length,-438.79,45.78,-9.58,0.0,-528.58,-349.0,147231.58,264133446.03,10,-17.70433756270286
anthropometrics,fev1,asian,Sit Height,-383.04,49.11,-7.8,0.0,-479.35,-286.73,146446.89,262725727.13,11,-2.74953727299552
anthropometrics,fev1,asian,Arm Circumference,-367.79,49.73,-7.4,0.0,-465.32,-270.25,146153.43,262199255.68,12,1.3412376941441562
anthropometrics,fev1,asian,BMI,-395.39,51.0,-7.75,0.0,-495.42,-295.36,145690.73,261369168.36,13,-6.062394377531576
anthropometrics,fev1,asian,Arm Length,-394.74,51.16,-7.72,0.0,-495.08,-294.4,145641.09,261280122.7,15,-5.888033477292843
anthropometrics,fev1,asian,Weight,-394.17,51.92,-7.59,0.0,-496.0,-292.35,145640.75,261279502.88,16,-5.735132380160411
baseline,fev1,asian,Baseline,-649.75,51.33,-12.66,0.0,-750.42,-549.07,203831.29,365673325.98,0,-0.0
demographics,fev1,asian,Immigrant,-531.97,57.79,-9.21,0.0,-645.32,-418.63,201687.58,361827526.97,8,-0.0
demographics,fev1,asian,HS Graduate,-535.3,57.64,-9.29,0.0,-648.35,-422.24,200474.34,359650957.07,9,-0.6259751489745525
demographics,fev1,asian,Poverty Ratio,-536.94,57.57,-9.33,0.0,-649.86,-424.02,199857.67,358544653.7,10,-0.9342632103314148
demographics,fev1,asian,Household Size,-534.7,57.58,-9.29,0.0,-647.63,-421.77,199625.71,358128525.4,11,-0.5131868338440172
demographics,fev1,asian,Military Health,-535.37,57.56,-9.3,0.0,-648.27,-422.48,199380.81,357689173.04,12,-0.6391337857397931
demographics,fev1,asian,Private Insurance,-532.68,57.61,-9.25,0.0,-645.68,-419.69,199247.87,357450680.09,13,-0.13346617290447255
demographics,fev1,asian,Veteran,-533.29,57.61,-9.26,0.0,-646.28,-420.3,199107.83,357199444.6,14,-0.24813429328720346
demographics,fev1,asian,English Language,-532.58,57.61,-9.24,0.0,-645.58,-419.58,198998.64,357003555.0,15,-0.11466812038273091
demographics,fev1,asian,Married,-533.46,57.63,-9.26,0.0,-646.48,-420.44,198907.77,356840536.2,16,-0.280090982574207
demographics,fev1,asian,Health Insurance,-533.25,57.64,-9.25,0.0,-646.3,-420.19,198898.85,356824533.79,17,-0.24061507227850681
demographics,fev1,asian,Race,-533.25,57.64,-9.25,0.0,-646.3,-420.19,198898.85,356824533.79,18,-0.24061507227850681
exposures,fev1,asian,Smoke Exposure,-651.81,51.35,-12.69,0.0,-752.52,-551.1,203650.76,365349460.23,8,-0.0
exposures,fev1,asian,Work Air,-650.2,51.52,-12.62,0.0,-751.25,-549.16,203632.51,365316724.91,9,0.24700449517495898
anthropometrics,fvc,asian,Height,-484.04,57.81,-8.37,0.0,-597.43,-370.65,242629.81,435277880.84,8,-0.0
anthropometrics,fvc,asian,Waist Circumference,-582.22,56.9,-10.23,0.0,-693.82,-470.61,228553.68,410025307.03,9,-20.28344764895463
anthropometrics,fvc,asian,Sit Height,-514.52,61.16,-8.41,0.0,-634.47,-394.57,227422.18,407995386.57,10,-6.297000247913388
anthropometrics,fvc,asian,Leg Length,-519.08,61.04,-8.5,0.0,-638.8,-399.36,226294.55,405972419.99,11,-7.239071151144537
anthropometrics,fvc,asian,Arm Circumference,-497.9,61.8,-8.06,0.0,-619.11,-376.68,225728.48,404956890.45,12,-2.863399719031476
anthropometrics,fvc,asian,BMI,-532.67,63.38,-8.4,0.0,-656.98,-408.35,224994.21,403639606.06,13,-10.046690356168899
anthropometrics,fvc,asian,Arm Length,-526.55,63.53,-8.29,0.0,-651.15,-401.94,224765.96,403230136.75,14,-8.782332038674475
anthropometrics,fvc,asian,Weight,-524.7,64.47,-8.14,0.0,-651.15,-398.26,224580.12,402896729.1,16,-8.400132220477651
baseline,fvc,asian,Baseline,-879.95,66.98,-13.14,0.0,-1011.32,-748.58,347063.64,622632163.71,0,-0.0
demographics,fvc,asian,Poverty Ratio,-866.33,66.81,-12.97,0.0,-997.37,-735.3,344142.35,617391373.6,8,-0.0
demographics,fvc,asian,Immigrant,-746.71,75.28,-9.92,0.0,-894.35,-599.07,341911.6,613389407.53,9,13.807671441598467
demographics,fvc,asian,HS Graduate,-748.99,75.21,-9.96,0.0,-896.5,-601.49,341026.97,611802378.43,10,13.544492283540917
demographics,fvc,asian,Household Size,-745.15,75.18,-9.91,0.0,-892.6,-597.7,340340.96,610571674.15,11,13.98774139184838
demographics,fvc,asian,Military Health,-746.1,75.15,-9.93,0.0,-893.49,-598.71,339850.33,609691498.65,12,13.878083409324393
demographics,fvc,asian,English Language,-745.13,75.14,-9.92,0.0,-892.5,-597.77,339497.88,609059192.29,13,13.990049980954144
demographics,fvc,asian,Married,-745.87,75.14,-9.93,0.0,-893.25,-598.49,339343.62,608782462.28,14,13.904632184040727
demographics,fvc,asian,Veteran,-746.5,75.16,-9.93,0.0,-893.91,-599.1,339226.91,608573082.06,15,13.831911627209035
demographics,fvc,asian,Private Insurance,-743.88,75.24,-9.89,0.0,-891.45,-596.31,339113.02,608368760.07,16,14.134336800064643
demographics,fvc,asian,Health Insurance,-742.77,75.24,-9.87,0.0,-890.34,-595.2,338866.2,607925957.62,17,14.26246349543477
demographics,fvc,asian,Race,-742.77,75.24,-9.87,0.0,-890.34,-595.2,338866.2,607925957.62,18,14.26246349543477
exposures,fvc,asian,Smoke Exposure,-881.96,67.02,-13.16,0.0,-1013.41,-750.52,346892.19,622324597.45,8,-0.0
exposures,fvc,asian,Work Air,-877.33,67.23,-13.05,0.0,-1009.18,-745.47,346740.65,622052731.86,9,0.5249671186901895
anthropometrics,fev1,black,Height,-466.65,25.67,-18.18,0.0,-517.0,-416.29,152726.22,273990832.62,8,-0.0
anthropometrics,fev1,black,Waist Circumference,-462.33,25.28,-18.29,0.0,-511.91,-412.74,147922.34,265372673.16,9,0.9257473481195743
anthropometrics,fev1,black,Leg Length,-448.35,25.69,-17.45,0.0,-498.73,-397.97,147231.58,264133446.03,10,3.921568627450971
anthropometrics,fev1,black,Sit Height,-325.25,47.37,-6.87,0.0,-418.16,-232.35,146446.89,262725727.13,11,30.30108218150648
