group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
baseline,fev1,asian,Baseline,-649.75,51.33,-12.66,0.0,-750.42,-549.07,203831.29,365673325.98,0,-0.0
anthropometrics,fev1,asian,Height,-372.79,45.87,-8.13,0.0,-462.75,-282.83,152726.22,273990832.62,8,42.6256252404771
anthropometrics,fev1,asian,Waist Circumference,-430.15,45.78,-9.4,0.0,-519.93,-340.36,147922.34,265372673.16,9,33.79761446710274
demographics,fev1,asian,Immigrant,-367.59,50.49,-7.28,0.0,-466.61,-268.57,147222.92,264117924.76,10,43.42593305117354
anthropometrics,fev1,asian,Leg Length,-373.58,50.41,-7.41,0.0,-472.45,-274.72,146463.27,262755115.17,11,42.50404001539054
anthropometrics,fev1,asian,Sit Height,-323.75,53.07,-6.1,0.0,-427.85,-219.66,145754.5,261483577.99,12,50.173143516737206
demographics,fev1,asian,English Language,-318.22,53.1,-5.99,0.0,-422.37,-214.08,145422.1,260887243.15,13,51.024240092343206
anthropometrics,fev1,asian,Arm Circumference,-304.24,53.6,-5.68,0.0,-409.37,-199.12,145143.01,260386556.23,14,53.1758368603309
anthropometrics,fev1,asian,BMI,-331.55,54.85,-6.04,0.0,-439.13,-223.96,144718.16,259624381.74,15,48.97268180069258
demographics,fev1,asian,Military Health,-332.03,54.84,-6.05,0.0,-439.58,-224.47,144552.31,259326849.6,16,48.89880723355137
demographics,fev1,asian,Veteran,-333.04,54.83,-6.07,0.0,-440.57,-225.52,144379.04,259015996.28,17,48.7433628318584
exposures,fev1,asian,Smoke Exposure,-333.63,54.82,-6.09,0.0,-441.15,-226.12,144246.05,258777422.52,18,48.652558676414
demographics,fev1,asian,Married,-334.07,54.82,-6.09,0.0,-441.59,-226.55,144165.93,258633684.19,19,48.584840323201234
exposures,fev1,asian,Work Air,-332.07,54.86,-6.05,0.0,-439.67,-224.46,144092.99,258502829.64,20,48.89265101962293
anthropometrics,fev1,asian,Arm Length,-331.29,55.07,-6.02,0.0,-439.31,-223.27,144046.1,258418709.82,22,49.01269719122739
anthropometrics,fev1,asian,Weight,-328.08,55.83,-5.88,0.0,-437.58,-218.57,144035.95,258400489.61,23,49.50673335898423
demographics,fev1,asian,Poverty Ratio,-328.69,55.88,-5.88,0.0,-438.29,-219.09,144027.21,258384820.74,24,49.41285109657561
demographics,fev1,asian,Health Insurance,-329.06,55.91,-5.89,0.0,-438.71,-219.41,144020.55,258372869.29,25,49.35590611773759
demographics,fev1,asian,Private Insurance,-329.15,55.92,-5.89,0.0,-438.83,-219.46,144015.7,258364172.89,26,49.34205463639862
demographics,fev1,asian,Household Size,-329.24,55.95,-5.89,0.0,-438.96,-219.51,144014.38,258361802.36,27,49.32820315505964
demographics,fev1,asian,HS Graduate,-329.23,55.97,-5.88,0.0,-439.01,-219.45,144014.38,258361796.57,28,49.329742208541745
demographics,fev1,asian,Race,-329.23,55.97,-5.88,0.0,-439.01,-219.45,144014.38,258361796.57,29,49.329742208541745
baseline,fev1,black,Baseline,-477.36,29.65,-16.1,0.0,-535.5,-419.21,203831.29,365673325.98,0,-0.0
anthropometrics,fev1,black,Height,-466.65,25.67,-18.18,0.0,-517.0,-416.29,152726.22,273990832.62,8,2.243589743589751
anthropometrics,fev1,black,Waist Circumference,-462.33,25.28,-18.29,0.0,-511.91,-412.74,147922.34,265372673.16,9,3.1485671191553606
demographics,fev1,black,Immigrant,-452.88,25.44,-17.81,0.0,-502.77,-403.0,147222.92,264117924.76,10,5.128205128205132
anthropometrics,fev1,black,Leg Length,-437.75,25.86,-16.93,0.0,-488.47,-387.03,146463.27,262755115.17,11,8.2977207977208
anthropometrics,fev1,black,Sit Height,-321.12,47.29,-6.79,0.0,-413.88,-228.37,145754.5,261483577.99,12,32.73001508295626
demographics,fev1,black,English Language,-312.57,47.44,-6.59,0.0,-405.61,-219.53,145422.1,260887243.15,13,34.521116138763205
anthropometrics,fev1,black,Arm Circumference,-262.25,54.66,-4.8,0.0,-369.45,-155.04,145143.01,260386556.23,14,45.062426680073735
anthropometrics,fev1,black,BMI,-348.23,66.31,-5.25,0.0,-478.28,-218.17,144718.16,259624381.74,15,27.050863080274844
