n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,black,Baseline,0.0,-499.94,29.35,-17.03,8.587584379849617e-60,200705.79
1,anthropometrics,fev1,black,Height,-1.7442093051166194,-508.66,25.6,-19.87,1.7277504467000196e-78,152278.29
2,anthropometrics,fev1,black,Sit Height,14.391727007240867,-427.99,28.23,-15.16,1.568894582433437e-48,147631.29
3,anthropometrics,fev1,black,Waist Circumference,20.186422370684486,-399.02,28.39,-14.06,2.4035319082335836e-42,144978.65
4,anthropometrics,fev1,black,Arm Length,19.278313397607715,-403.56,28.55,-14.14,9.00335395594031e-43,144997.01
5,anthropometrics,fev1,black,Arm Circumference,20.462455494659363,-397.64,28.82,-13.8,6.221557205355648e-41,143423.6
6,anthropometrics,fev1,black,BMI,18.06016722006641,-409.65,29.06,-14.1,1.455287488093651e-42,143145.46
7,anthropometrics,fev1,black,Weight,18.350202024242908,-408.2,29.16,-14.0,5.1485912835574584e-42,143706.69
1,exposures,fev1,black,Smoke Exposure,1.0101212145457477,-494.89,29.52,-16.77,3.8562260570939965e-58,200390.76
2,exposures,fev1,black,Work Mask,0.9981197743729265,-494.95,29.52,-16.77,3.9149137909985796e-58,200324.4
1,sociodemographics,fev1,black,Income:Poverty,4.968596231547781,-475.1,29.56,-16.07,6.468181863762689e-54,197563.51
2,sociodemographics,fev1,black,Immigrant,5.490658879065486,-472.49,29.45,-16.04,9.750066957493727e-54,195877.94
3,sociodemographics,fev1,black,High School Graduate,7.596911629395531,-461.96,29.71,-15.55,8.404972825975956e-51,195110.83
4,sociodemographics,fev1,black,Household Size,8.667040044805374,-456.61,29.94,-15.25,4.748470886570283e-49,194458.11
5,sociodemographics,fev1,black,Married,11.301356162739529,-443.44,30.19,-14.69,7.603453566561745e-46,193703.63
6,sociodemographics,fev1,black,Veteran,11.30335640276833,-443.43,30.18,-14.69,7.521312615093399e-46,193537.74
7,sociodemographics,fev1,black,Health Insurance,11.557386886426366,-442.16,30.26,-14.61,2.1161193863537698e-45,193492.0
8,sociodemographics,fev1,black,Private Insurance,12.319478337400483,-438.35,30.58,-14.33,7.310327862200378e-44,193397.59
9,sociodemographics,fev1,black,English Language,12.403488418610232,-437.93,30.63,-14.3,1.1607885595538879e-43,193388.38
10,sociodemographics,fev1,black,Military Health,12.415489858783053,-437.87,30.65,-14.29,1.377068742573972e-43,193387.89
1,baseline,fvc,black,Baseline,0.0,-694.67,39.01,-17.81,9.674364548099348e-65,354362.95
1,anthropometrics,fvc,black,Height,-1.7245598629565144,-706.65,33.69,-20.97,3.163725229856593e-86,263786.36
2,anthropometrics,fvc,black,Sit Height,13.858378798566223,-598.4,37.08,-16.14,2.648817062802209e-54,254657.87
3,anthropometrics,fvc,black,Waist Circumference,19.469676249154276,-559.42,37.2,-15.04,7.998328689245942e-48,249015.2
4,anthropometrics,fvc,black,Arm Length,18.48071746296803,-566.29,37.46,-15.12,2.8774052326910736e-48,249698.76
5,anthropometrics,fvc,black,Arm Circumference,19.967754473347046,-555.96,37.7,-14.75,3.693361911011743e-46,245424.01
6,anthropometrics,fvc,black,BMI,17.97256251169619,-569.82,38.07,-14.97,2.057839308969998e-47,245747.9
7,anthropometrics,fvc,black,Weight,18.394345516576212,-566.89,38.26,-14.82,1.4736736713324072e-46,247349.94
1,exposures,fvc,black,Smoke Exposure,0.7845451797256153,-689.22,39.23,-17.57,3.4823742940322546e-63,353995.59
2,exposures,fvc,black,Work Mask,0.775907985086442,-689.28,39.24,-17.57,3.6197864878805055e-63,353918.25
1,sociodemographics,fvc,black,Income:Poverty,4.904487022615045,-660.6,39.25,-16.83,1.5696028301898984e-58,348456.23
2,sociodemographics,fvc,black,Immigrant,5.344983949213296,-657.54,39.15,-16.8,2.490855629021364e-58,346113.58
