n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,baseline,fev1,black,Baseline,0.0,-499.94,29.35,-17.03,8.587584379849617e-60,200705.79
1,anthropometrics,fev1,black,Height,-1.7442093051166194,-508.66,25.6,-19.87,1.7277504467000196e-78,152278.29
2,anthropometrics,fev1,black,Sit Height,14.391727007240867,-427.99,28.23,-15.16,1.568894582433437e-48,147631.29
3,anthropometrics,fev1,black,Waist Circumference,20.186422370684486,-399.02,28.39,-14.06,2.4035319082335836e-42,144978.65
4,anthropometrics,fev1,black,Arm Length,19.278313397607715,-403.56,28.55,-14.14,9.00335395594031e-43,144997.01
5,sociodemographics,fev1,black,Immigrant,19.466335960315238,-402.62,28.51,-14.12,1.060216181184476e-42,144824.98
6,sociodemographics,fev1,black,Income:Poverty,20.284434132095857,-398.53,28.61,-13.93,1.2092100408212994e-41,144592.43
7,exposures,fev1,black,Work Mask,20.324438932671924,-398.33,28.61,-13.92,1.2681281766413596e-41,144426.61
8,sociodemographics,fev1,black,Health Insurance,20.742489098691838,-396.24,28.67,-13.82,4.505311595105558e-41,144311.91
9,sociodemographics,fev1,black,High School Graduate,21.514581749809977,-392.38,28.85,-13.6,6.895802222659458e-40,144183.48
10,sociodemographics,fev1,black,Married,22.246669600352035,-388.72,29.05,-13.38,1.0172210806948362e-38,144078.87
11,sociodemographics,fev1,black,Household Size,22.97075649077889,-385.1,29.29,-13.15,1.6037453410164178e-37,143834.01
12,anthropometrics,fev1,black,Arm Circumference,23.796855622674713,-380.97,29.46,-12.93,2.165956244992856e-36,142406.1
13,anthropometrics,fev1,black,BMI,21.460575269032287,-392.65,29.77,-13.19,1.0168795182891731e-37,142187.12
14,sociodemographics,fev1,black,English Language,23.190782893947272,-384.0,29.96,-12.82,8.177795633779469e-36,143488.51
15,sociodemographics,fev1,black,Veteran,23.292795135416245,-383.49,29.97,-12.79,1.0678467132920593e-35,143437.53
16,anthropometrics,fev1,black,Weight,22.414689762771534,-387.88,30.0,-12.93,2.1917097893938427e-36,142580.58
17,sociodemographics,fev1,black,Private Insurance,22.870744489338716,-385.6,30.27,-12.74,1.9995165656143842e-35,143352.48
18,exposures,fev1,black,Smoke Exposure,23.150778093371205,-384.2,30.35,-12.66,5.246907061611014e-35,143316.27
19,sociodemographics,fev1,black,Military Health,23.16277953354403,-384.14,30.37,-12.65,5.720285150911453e-35,143314.29
1,baseline,fev1,hispanic,Baseline,0.0,-264.45,28.11,-9.41,1.745019265813536e-20,200705.79
1,anthropometrics,fev1,hispanic,Height,83.81924749480054,-42.79,26.6,-1.61,0.10784474025238312,152278.29
2,anthropometrics,fev1,hispanic,Sit Height,87.40026470032143,-33.32,26.2,-1.27,0.20378372163502467,147631.29
3,anthropometrics,fev1,hispanic,Waist Circumference,92.58839100018908,-19.6,26.45,-0.74,0.4588400230959603,144978.65
4,anthropometrics,fev1,hispanic,Arm Length,96.43410852713178,-9.43,26.23,-0.36,0.7193150275517651,144997.01
5,sociodemographics,fev1,hispanic,Immigrant,103.21799962185668,8.51,27.98,0.3,0.7610163287539671,144824.98
6,sociodemographics,fev1,hispanic,Income:Poverty,106.01626016260163,15.91,28.36,0.56,0.5747411653679855,144592.43
7,exposures,fev1,hispanic,Work Mask,106.39818491208169,16.92,28.36,0.6,0.550841034184749,144426.61
8,sociodemographics,fev1,hispanic,Health Insurance,105.47929665343166,14.49,28.44,0.51,0.6103582175765117,144311.91
9,sociodemographics,fev1,hispanic,High School Graduate,107.6574021554169,20.25,28.85,0.7,0.4829367168688672,144183.48
10,sociodemographics,fev1,hispanic,Married,107.46076763093212,19.73,28.86,0.68,0.4941694439643277,144078.87
11,sociodemographics,fev1,hispanic,Household Size,109.72206466250708,25.71,29.26,0.88,0.37969477980967503,143834.01
